scenario_id,scenario_name,date,optimized_cost_pkr,optimized_emissions_kgco2e,grid_energy_kwh,solar_energy_kwh,peak_demand_kw,comfort_pct
PUB-A,Urban Household (No Solar),2026-06-01,197.867825,4.276125,8.5925,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-02,195.4047,4.25225,8.5225,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-03,180.720725,3.9457500000000003,8.01,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-04,192.540125,4.19425,8.4375,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-05,161.75045,3.64725,7.58,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-06,176.139175,3.827125,7.7175,0,0.5,0
PUB-A,Urban Household (No Solar),2026-06-07,189.599725,4.1385000000000005,8.3825,0,0.49,0
PUB-B,Solar-Equipped Household,2026-06-01,106.8568,2.416875,4.975,3.2375,0.49,0
PUB-B,Solar-Equipped Household,2026-06-02,114.64315,2.5245,5.1175,3.215,0.49,0
PUB-B,Solar-Equipped Household,2026-06-03,114.62429999999999,2.5595,5.22,3.37,0.5,0
PUB-B,Solar-Equipped Household,2026-06-04,110.8699,2.4537500000000003,4.995,3.2025,0.47,0
PUB-B,Solar-Equipped Household,2026-06-05,113.42695,2.52775,5.1375,3.37,0.5,0
PUB-B,Solar-Equipped Household,2026-06-06,115.242925,2.5536250000000003,5.1775,3.315,0.5,0
PUB-B,Solar-Equipped Household,2026-06-07,116.3237,2.57975,5.27,3.21,0.5,0
PUB-C,Small Office / Classroom,2026-06-01,396.866975,8.868625,18.025,6.07,1.18,58.333333333333336
PUB-C,Small Office / Classroom,2026-06-02,400.051375,8.776375,17.7375,5.98,1.19,58.333333333333336
PUB-C,Small Office / Classroom,2026-06-03,408.631125,8.98775,18.2425,5.97,1.19,58.333333333333336
PUB-C,Small Office / Classroom,2026-06-04,412.611575,9.080125,18.35,5.97,1.18,58.333333333333336
PUB-C,Small Office / Classroom,2026-06-05,411.06835,9.034875,18.3,5.9775,1.2,58.333333333333336
PUB-C,Small Office / Classroom,2026-06-06,400.166425,8.7835,17.7875,6.055,1.18,100
PUB-C,Small Office / Classroom,2026-06-07,378.08315,8.35025,16.9125,5.9975,1.2,100
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-01,4946.5125,78.21675,173.815,66.185,10,1.0416666666666667
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-02,2595.36,52.24725,116.105,66.185,10,0
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-03,4946.5125,78.21675,173.815,66.185,10,0
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-04,4946.5125,78.21675,173.815,66.185,10,0
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-05,4110.7525,66.463875,147.6975,66.185,10,0
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-06,4946.5125,78.21675,173.815,66.185,10,0
custom_hospital_karachi,Karachi Hospital Emergency Ward,2026-07-07,4946.5125,78.21675,173.815,66.185,10,0